,name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,element_type,start_price,end_price
0,folarin balogun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,fwd,4.5,4.4
1,cédric alves soares,0,0,3,59,0,4.3,2.0,0.0,0,15,0.6,0,0,0,0.5,def,4.0,3.8
2,mohamed elneny,0,1,6,25,0,2.1,4.0,10.0,0,16,1.6,0,0,0,0.1,mid,4.5,4.4
3,fábio ferreira vieira,1,3,24,290,2,88.8,82.8,85.0,0,67,25.5,1,1,0,0.1,mid,5.5,5.4
4,gabriel dos santos magalhães,3,1,149,3042,26,121.9,675.8,379.0,8,676,117.9,16,0,4,28.3,def,5.0,5.4
5,kai havertz,13,10,180,2627,22,613.4,763.2,1027.0,15,515,240.2,16,0,11,11.9,mid,7.5,7.6
6,gabriel fernando de jesus,4,7,85,1470,11,403.0,364.8,756.0,10,271,152.7,11,0,6,2.6,fwd,8.0,7.7
7,jorge luiz frello filho,0,2,44,913,11,187.8,165.4,16.0,1,182,36.8,4,0,1,0.2,mid,5.5,5.3
8,jakub kiwior,1,3,67,942,8,106.9,228.8,90.0,1,260,42.7,6,0,1,0.6,def,4.5,4.0
9,marcus oliveira alencar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,mid,4.5,4.5
10,gabriel martinelli silva,6,5,118,2010,23,717.1,500.4,795.0,6,404,200.8,10,0,1,4.2,mid,8.0,7.5
11,eddie nketiah,5,4,71,1065,10,136.3,235.0,417.0,5,206,77.2,6,0,3,3.1,fwd,5.5,5.0
12,martin ødegaard,8,11,186,3098,23,1499.4,910.4,757.0,26,703,317.0,19,0,2,18.0,mid,8.5,8.6
13,thomas partey,0,0,24,785,5,122.9,117.6,37.0,0,142,27.8,5,0,3,0.1,mid,5.0,4.8
14,nicolas pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,mid,5.0,4.9
